epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,14704.7,0.78631,0.4977,0.98461,0.79807,0.67329,0.74919,0.51947,1.03766,0.71589,1.15691,0.000166392,0.000166392,0.000166392
99,14854.3,0.78346,0.49129,0.98584,0.78352,0.68488,0.75258,0.5217,1.04238,0.71749,1.15516,0.00015952,0.00015952,0.00015952
100,15003.9,0.77147,0.4918,0.97682,0.77854,0.69729,0.75852,0.52819,1.03773,0.71156,1.16098,0.000152647,0.000152647,0.000152647
101,15153.8,0.76477,0.47492,0.97818,0.78204,0.70452,0.76018,0.52722,1.03625,0.71049,1.16044,0.000145775,0.000145775,0.000145775
102,15303.5,0.76046,0.47362,0.97232,0.82419,0.67495,0.76109,0.52546,1.04282,0.71342,1.15858,0.000138903,0.000138903,0.000138903
103,15453,0.76176,0.47457,0.98005,0.79911,0.68423,0.75485,0.5215,1.03893,0.7149,1.15768,0.000132031,0.000132031,0.000132031
104,15602.6,0.75598,0.47167,0.97738,0.78441,0.69659,0.76071,0.52723,1.03804,0.71539,1.16212,0.000125158,0.000125158,0.000125158
105,15752.1,0.75482,0.47111,0.97114,0.78446,0.69705,0.75874,0.52448,1.04186,0.71018,1.16591,0.000118286,0.000118286,0.000118286
106,15901.7,0.75331,0.46513,0.96956,0.78845,0.69179,0.75939,0.52627,1.03456,0.70814,1.1587,0.000111414,0.000111414,0.000111414
107,16051.4,0.74741,0.46435,0.963,0.8144,0.68361,0.76443,0.52764,1.03345,0.70883,1.15979,0.000104542,0.000104542,0.000104542
108,16201.2,0.74324,0.47145,0.97356,0.79626,0.68862,0.76304,0.53027,1.03157,0.70874,1.1628,9.76692e-05,9.76692e-05,9.76692e-05
109,16351,0.73257,0.45205,0.96137,0.81383,0.68834,0.7657,0.53149,1.03037,0.70586,1.16446,9.0797e-05,9.0797e-05,9.0797e-05
110,16500.8,0.75041,0.46149,0.9725,0.81317,0.68695,0.76585,0.53123,1.03297,0.70035,1.16253,8.39248e-05,8.39248e-05,8.39248e-05
111,16651,0.70892,0.40239,0.94336,0.80899,0.6791,0.76168,0.52697,1.03269,0.70354,1.16555,7.70525e-05,7.70525e-05,7.70525e-05
112,16800.5,0.70289,0.39025,0.94301,0.80116,0.6929,0.76484,0.52999,1.03377,0.70562,1.15958,7.01802e-05,7.01802e-05,7.01802e-05
113,16949.9,0.69332,0.38667,0.93273,0.81059,0.68858,0.76484,0.52989,1.0356,0.71245,1.1671,6.3308e-05,6.3308e-05,6.3308e-05
114,17099.3,0.70196,0.43044,0.94925,0.79691,0.69853,0.76538,0.5315,1.03338,0.71147,1.16605,5.64358e-05,5.64358e-05,5.64358e-05
115,17248.8,0.68333,0.37686,0.92964,0.82292,0.67851,0.76797,0.53428,1.02939,0.70847,1.1621,4.95635e-05,4.95635e-05,4.95635e-05
116,17398.6,0.67838,0.37523,0.92503,0.79528,0.6916,0.7615,0.53078,1.02987,0.71735,1.16208,4.26912e-05,4.26912e-05,4.26912e-05
117,17548.2,0.67767,0.37617,0.92857,0.80333,0.69018,0.76175,0.53061,1.02861,0.71452,1.16417,3.5819e-05,3.5819e-05,3.5819e-05
118,17697.7,0.67339,0.36951,0.92122,0.80143,0.69313,0.76342,0.53211,1.02812,0.71579,1.16582,2.89468e-05,2.89468e-05,2.89468e-05
119,17847.1,0.66697,0.36889,0.92366,0.80179,0.69297,0.76356,0.53292,1.0286,0.713,1.16889,2.20745e-05,2.20745e-05,2.20745e-05
120,17996.5,0.67534,0.36762,0.92948,0.80364,0.69812,0.76584,0.53409,1.02726,0.71049,1.16756,1.52022e-05,1.52022e-05,1.52022e-05
